,Country,1995-1999 A university education is more important for a boy than for a girl,2000-2004 A university education is more important for a boy than for a girl,2005-2009 A university education is more important for a boy than for a girl,2010-2014 A university education is more important for a boy than for a girl,1995-1999 Are you religious,2000-2004 Are you religious,2005-2009 Are you religious,2010-2014 Are you religious,1995-1999 Feeling of happiness,2005-2009 Feeling of happiness,2010-2014 Feeling of happiness,1995-1999 Men make better political leaders than women do,2000-2004 Men make better political leaders than women do,2005-2009 Men make better political leaders than women do,2010-2014 Men make better political leaders than women do,1995-1999 State of health,2000-2004 State of health,2005-2009 State of health,2010-2014 State of health,1995-1999 Approve woman as a single parent,2000-2004 Approve woman as a single parent,2005-2009 Approve woman as a single parent,1995-1999 Importance of family,2000-2004 Importance of family,2005-2009 Importance of family,2010-2014 Importance of family,1995-1999 Importance of friends,2000-2004 Importance of friends,2005-2009 Importance of friends,2010-2014 Importance of friends,ISO3
23,Japan,2170.0,1734.0,1776.0,1626.0,1308.0,1386.0,1272.0,1254.0,4388.0,4238.0,4294.0,2384.0,1970.0,1966.0,1814.0,3204.0,3184.0,3154.0,3064.0,2199.0,2502.0,2454.0,5734.0,5748.0,5744.0,5732.0,4826.0,4700.0,4716.0,4688.0,JPN
24,South Korea,2638.0,1868.0,2210.0,1962.0,,1848.0,1800.0,1950.0,3992.0,3988.0,4088.0,3452.0,2664.0,3186.0,2770.0,3854.0,3808.0,3828.0,3854.0,,1314.0,1251.0,5778.0,5784.0,5842.0,5792.0,4796.0,4798.0,4764.0,4874.0,
25,Latvia,2328.0,,,,3624.0,,,,3324.0,,,3442.0,,,,2526.0,,,,4008.0,,,5182.0,,,,4058.0,,,,LVA
26,Lithuania,2022.0,,,,4692.0,,,,2990.0,,,3034.0,,,,2736.0,,,,4449.0,,,5362.0,,,,3902.0,,,,LTU
27,Mexico,2272.0,2054.0,2160.0,2066.0,3780.0,4530.0,4494.0,4452.0,3940.0,4960.0,5228.0,2698.0,2416.0,2306.0,2136.0,3342.0,3524.0,3646.0,3930.0,3450.0,3042.0,3804.0,5402.0,5900.0,5866.0,5940.0,3844.0,4142.0,4204.0,4240.0,MEX
28,Moldova,2418.0,2036.0,1874.0,,4788.0,5112.0,4896.0,,2762.0,2882.0,,3562.0,3108.0,3134.0,,2192.0,2022.0,2984.0,,2775.0,2559.0,2718.0,5508.0,5618.0,5630.0,,3782.0,4270.0,3920.0,,
29,New Zealand,1456.0,,1270.0,1318.0,2820.0,,2700.0,2562.0,4514.0,4672.0,4456.0,1792.0,,1754.0,1718.0,4218.0,,4304.0,4226.0,1971.0,,2322.0,5798.0,,5838.0,5784.0,4888.0,,4892.0,4926.0,NZL
30,Nigeria,2464.0,2758.0,,3060.0,5526.0,5778.0,,5754.0,4544.0,,4732.0,4066.0,4496.0,,4382.0,4128.0,4950.0,,4878.0,636.0,1212.0,,5938.0,5972.0,,5960.0,4830.0,5054.0,,5126.0,NGA
31,Norway,800.0,,358.0,,2796.0,,2454.0,,4466.0,4650.0,,1180.0,,1094.0,,4286.0,,4334.0,,2097.0,,3123.0,5724.0,,5780.0,,5120.0,,5264.0,,NOR
32,Pakistan,2850.0,1948.0,,3120.0,,5148.0,,5982.0,4060.0,,4518.0,4130.0,3114.0,,4094.0,3468.0,3550.0,,4208.0,,66.0,,5506.0,5832.0,,5870.0,3458.0,3608.0,,4462.0,PAK
33,Peru,2400.0,2020.0,1946.0,1708.0,4632.0,5172.0,4728.0,4890.0,3782.0,3862.0,4190.0,2374.0,2058.0,2108.0,1734.0,3154.0,3152.0,3024.0,3272.0,2655.0,3162.0,2631.0,5712.0,5626.0,5586.0,5696.0,3482.0,3574.0,3410.0,3514.0,PER
34,Philippines,2560.0,2650.0,,2892.0,5016.0,4716.0,,4842.0,4626.0,,4760.0,3222.0,3560.0,,3564.0,3264.0,3380.0,,3380.0,963.0,1056.0,,5910.0,5970.0,,5974.0,4504.0,4468.0,,4376.0,PHL
35,Poland,2176.0,,1762.0,1800.0,5454.0,,5520.0,5172.0,4008.0,4078.0,4254.0,3002.0,,2562.0,2376.0,2630.0,,3224.0,3440.0,2472.0,,2961.0,5766.0,,5840.0,5788.0,4178.0,,4534.0,4606.0,POL
36,Puerto Rico,1570.0,1448.0,,,5106.0,4902.0,,,4646.0,,,2254.0,1708.0,,,3788.0,4028.0,,,2814.0,3552.0,,5840.0,5902.0,,,4034.0,4238.0,,,PRI
37,Romania,2478.0,,1316.0,1580.0,4734.0,,5490.0,4884.0,3050.0,3088.0,3560.0,3788.0,,2716.0,2564.0,3132.0,,2982.0,3430.0,3555.0,,3108.0,5712.0,,5606.0,5828.0,3694.0,,3766.0,3874.0,ROU
38,Russia,2564.0,,2316.0,2106.0,3528.0,,3918.0,3186.0,2936.0,3356.0,3642.0,3168.0,,3388.0,3320.0,2096.0,,2622.0,2756.0,3726.0,,3171.0,5578.0,,5714.0,5634.0,4122.0,,4462.0,4212.0,
39,Slovakia,2426.0,,,,4500.0,,,,3474.0,,,3498.0,,,,3034.0,,,,3645.0,,,5796.0,,,,4422.0,,,,SVK
40,Slovenia,1954.0,,1464.0,1462.0,3894.0000000000005,,3840.0,3852.0,3670.0,3874.0,4006.0,2658.0,,2232.0,2034.0,2786.0,,3278.0,3508.0,4254.0,,3276.0,5536.0,,5704.0,5738.0,4546.0,,4804.0,4718.0,SVN
41,South Africa,1490.0,1462.0,1614.0,2410.0,4680.0,4608.0,4782.0,4800.0,4036.0,4280.0,4196.0,2908.0,2614.0,2834.0,3018.0,3838.0,4414.0,4226.0,4426.0,1821.0,2496.0,2217.0,5808.0,5866.0,5886.0,5812.0,3528.0,3966.0,3966.0,4434.0,ZAF
42,Spain,1854.0,1378.0,1142.0,1566.0,4050.0,3732.0,2658.0,2400.0,4078.0,4078.0,4010.0,2030.0,1600.0,1434.0,1766.0,3644.0,3796.0,3900.0,3786.0,4593.0,4809.0,4890.0,5610.0,5678.0,5748.0,5806.0,4576.0,4750.0,4852.0,4926.0,ESP
43,Sweden,658.0,570.0,910.0,920.0,1884.0,2226.0,1962.0000000000002,1872.0,4622.0,4768.0,4692.0,1250.0,1360.0,1350.0,1322.0,4198.0,,4184.0,4060.0,2916.0,2643.0,3231.0,5768.0,5740.0,5812.0,5738.0,5354.0,5362.0,5384.0,5292.0,SWE
44,Turkey,2448.0,2022.0,1522.0,2240.0,3924.0000000000005,4728.0,4860.0,5010.0,4740.0,4378.0,4340.0,3518.0,3346.0,3228.0,3792.0,3418.0,3460.0,3530.0,3542.0,3120.0,483.0,570.0,5920.0,5928.0,5948.0,5898.0,5372.0,5336.0,5166.0,5082.0,TUR
45,Ukraine,2306.0,,2378.0,1964.0,3480.0,,4464.0,4098.0,2748.0,3562.0,3498.0,3062.0,,2990.0,3270.0,2110.0,,2766.0,2518.0,2658.0,,2958.0,5622.0,,5664.0,5810.0,4332.0,,4344.0,4550.0,UKR
46,Macedonia,1518.0,1266.0,,,3222.0,4938.0,,,3412.0,,,2752.0,2544.0,,,3702.0,3720.0,,,3630.0,3267.0,,5926.0,5942.0,,,4622.0,4808.0,,,
47,United States,1724.0,1380.0,1480.0,1300.0,4746.0,4872.0,4140.0,4020.0,4784.0,4544.0,4482.0,2240.0,2040.0,2172.0,1930.0,4306.0,4456.0,4150.0,4074.0,2214.0,2862.0,3060.0,5884.0,5878.0,5858.0,5762.0,5296.0,5188.0,5072.0,4904.0,USA
48,Uruguay,1874.0,,1584.0,1464.0,3150.0,,3372.0,3048.0,3940.0,4280.0,4352.0,2526.0,,1898.0,1012.0,3900.0,,3872.0,4060.0,4455.0,,4278.0,5782.0,,5764.0,5730.0,4858.0,,4626.0,4596.0,URY
49,Venezuela,1706.0,1094.0,,,5046.0,4656.0,,,4908.0,,,2400.0,2392.0,,,4088.0,,,,3540.0,3708.0,,5938.0,5956.0,,,4368.0,4818.0,,,
50,Serbia,2178.0,1768.0,1578.0,,3342.0,4092.0,4566.0,,3564.0,3294.0,,3148.0,2586.0,2592.0,,3048.0,3082.0,3188.0,,3522.0,3702.0,3312.0,5724.0,5820.0,5826.0,,4818.0,5048.0,4972.0,,SRB
51,Montenegro,1924.0,2004.0,,,2772.0,3750.0,,,3594.0,,,3348.0,2882.0,,,3378.0,3290.0,,,3513.0,2859.0,,5754.0,5840.0,,,4778.0,4806.0,,,MNE
52,Bosnia,1516.0,,,,4032.0,,,,3836.0,,,3052.0,,,,3466.0,,,,3690.0,,,5930.0,,,,5332.0,,,,
53,Algeria,,2098.0,,2604.0,,3288.0,,4452.0,,,3676.0,,3842.0,,4146.0,,2932.0,,3560.0,,531.0,,,5862.0,,5778.0,,4382.0,,4428.0,DZA
54,Bosnia Herzegovina,,1718.0,,,,4368.0,,,,,,,2416.0,,,,3640.0,,,,3237.0,,,5970.0,,,,5364.0,,,
55,Canada,,1214.0,1296.0,,,4326.0,3905.9999999999995,,,4808.0,,,1862.0,1864.0,,,4390.0,4400.0,,,3021.0,3084.0,,5854.0,5822.0,,,5104.0,5172.0,,CAN
56,Indonesia,,1848.0,2002.0,,,4170.0,4518.0,,,4308.0,,,3186.0,3374.0,,,3622.0,3828.0,,,414.0,276.0,,5980.0,5918.0,,,5050.0,4970.0,,IDN
57,Iran,,2588.0,3088.0,,,4938.0,4848.0,,,3834.0,,,3336.0,3924.0,,,3914.0,3572.0,,,300.0,330.0,,5842.0,5844.0,,,4058.0,4134.0,,
58,Iraq,,2898.0,2810.0,2236.0,,5064.0,3096.0,4608.0,,2780.0,3456.0,,4976.0,4980.0,4368.0,,3844.0,3398.0,3486.0,,,,,5928.0,5900.0,5840.0,,4976.0,4924.0,4660.0,IRQ
59,Jordan,,2424.0,2214.0,2218.0,,5100.0,5532.0,4824.0,,4290.0,4044.0,,4958.0,4454.0,4624.0,,4136.0,4564.0,4286.0,,138.0,123.0,,5922.0,5920.0,5912.0,,4738.0,5056.0,4790.0,JOR
60,Kyrgyzstan,,2162.0,,2780.0,,4422.0,,5538.0,,,4634.0,,3230.0,,3564.0,,3352.0,,3812.0,,1854.0,,,5730.0,,5920.0,,4732.0,,4436.0,KGZ
61,Morocco,,3018.0,2088.0,1634.0,,,5382.0,4944.0,,4050.0,3868.0,,3518.0,3222.0,3238.0,,3762.0,4188.0,4076.0,,159.0,132.0,,5834.0,5908.0,5788.0,,3916.0,4674.0,4182.0,MAR
62,Saudi Arabia,,3594.0,,,,3816.0,,,,,,,4134.0,,,,4736.0,,,,312.0,,,5880.0,,,,4864.0,,,SAU
63,Singapore,,1946.0,,2198.0,,,,3186.0,,,4632.0,,2938.0,,2926.0,,,,4108.0,,1380.0,,,5826.0,,5842.0,,4644.0,,4916.0,SGP
64,Vietnam,,2266.0,1954.0,,,2184.0,2298.0,,,4252.0,,,3164.0,3120.0,,,3294.0,3224.0,,,1275.0,1662.0,,5622.0,5614.0,,,4026.0,4128.0,,
65,Zimbabwe,,1662.0,,1854.0,,5244.0,,5442.0,,,4318.0,,2984.0,,3410.0,,3738.0,,4428.0,,612.0,,,5944.0,,5930.0,,4116.0,,4414.0,ZWE
66,Uganda,,1638.0,,,,5598.0,,,,,,,3568.0,,,,3828.0,,,,1677.0,,,5776.0,,,,5386.0,,,UGA
67,Egypt,,2200.0,2624.0,2526.0,,5904.0,5538.0,,,3812.0,1748.0,,4714.0,5272.0,4780.0,,3576.0,3478.0,3158.0,,297.0,108.0,,5920.0,5950.0,5942.0,,4354.0,4626.0,4818.0,EGY
68,Tanzania,,1410.0,,,,5370.0,,,,,,,2756.0,,,,3554.0,,,,1176.0,,,5626.0,,,,3872.0,,,
69,Andorra,,,1332.0,,,,2880.0,,,4374.0,,,,1710.0,,,,4342.0,,,,5175.0,,,5720.0,,,,4802.0,,AND
70,Cyprus,,,1530.0,1306.0,,,3690.0,4698.0,,4422.0,4074.0,,,2540.0,2258.0,,,4280.0,4196.0,,,2052.0,,,5840.0,5832.0,,,5042.0,5048.0,CYP
71,Ethiopia,,,1368.0,,,,4602.0,,,3744.0,,,,1850.0,,,,3614.0,,,,2433.0,,,5806.0,,,,5506.0,,ETH
72,France,,,704.0,,,,2784.0,,,4482.0,,,,1558.0,,,,3932.0,,,,4017.0,,,5662.0,,,,4990.0,,FRA
73,Ghana,,,1856.0,2234.0,,,5448.0,5820.0,,4492.0,4570.0,,,4080.0,4430.0,,,4228.0,4690.0,,,417.0,,,5844.0,5880.0,,,4240.0,4410.0,GHA
74,Guatemala,,,1726.0,,,,4296.0,,,4432.0,,,,2190.0,,,,3618.0,,,,3717.0,,,5962.0,,,,4514.0,,GTM
75,Hong Kong,,,2228.0,2278.0,,,1632.0,1188.0,,3790.0,4218.0,,,2602.0,2650.0,,,3282.0,3338.0,,,1710.0,,,5030.0,5644.0,,,4568.0,4738.0,HKG
76,Italy,,,1604.0,,,,5100.0,,,4116.0,,,,1950.0,,,,3786.0,,,,2667.0,,,5836.0,,,,4774.0,,ITA
77,Malaysia,,,2998.0,2842.0,,,5328.0,3222.0,,4624.0,5048.0,,,3746.0,3820.0,,,4324.0,4474.0,,,1635.0,,,5924.0,5944.0,,,4730.0,4726.0,MYS
78,Mali,,,3228.0,,,,5622.0,,,4354.0,,,,4154.0,,,,3646.0,,,,864.0,,,5746.0,,,,4894.0,,MLI
79,Netherlands,,,1114.0,1164.0,,,3042.0,2628.0,,4698.0,4454.0,,,1620.0,1462.0,,,3866.0,3722.0,,,3981.0,,,5432.0,5528.0,,,5066.0,4866.0,NLD
80,Rwanda,,,2342.0,2552.0,,,5628.0,5754.0,,3894.0,4598.0,,,2976.0,3002.0,,,2376.0,4252.0,,,1857.0,,,5218.0,5804.0,,,4950.0,5376.0,RWA
81,Switzerland,,,1134.0,,3252.0,,3756.0,,4662.0,4692.0,,,,1594.0,,4408.0,,4294.0,,2865.0,,2679.0,5552.0,,5672.0,,5030.0,,5096.0,,CHE
