,Country,1995-1999 A university education is more important for a boy than for a girl,2000-2004 A university education is more important for a boy than for a girl,2005-2009 A university education is more important for a boy than for a girl,2010-2014 A university education is more important for a boy than for a girl,1995-1999 Are you religious,2000-2004 Are you religious,2005-2009 Are you religious,2010-2014 Are you religious,1995-1999 Feeling of happiness,2005-2009 Feeling of happiness,2010-2014 Feeling of happiness,1995-1999 Men make better political leaders than women do,2000-2004 Men make better political leaders than women do,2005-2009 Men make better political leaders than women do,2010-2014 Men make better political leaders than women do,1995-1999 State of health,2000-2004 State of health,2005-2009 State of health,2010-2014 State of health,1995-1999 Approve woman as a single parent,2000-2004 Approve woman as a single parent,2005-2009 Approve woman as a single parent,1995-1999 Importance of family,2000-2004 Importance of family,2005-2009 Importance of family,2010-2014 Importance of family,1995-1999 Importance of friends,2000-2004 Importance of friends,2005-2009 Importance of friends,2010-2014 Importance of friends,iso3
37,Romania,41.3,,21.933333333333334,26.333333333333332,78.9,,91.5,81.4,50.833333333333336,51.46666666666667,59.333333333333336,63.13333333333333,,45.266666666666666,42.733333333333334,52.2,,49.7,57.166666666666664,59.25,,51.8,95.2,,93.43333333333334,97.13333333333334,61.56666666666667,,62.766666666666666,64.56666666666666,ROU
38,Russia,42.733333333333334,,38.6,35.1,58.8,,65.3,53.1,48.93333333333333,55.93333333333333,60.7,52.8,,56.46666666666667,55.333333333333336,34.93333333333333,,43.7,45.93333333333333,62.1,,52.85,92.96666666666667,,95.23333333333333,93.9,68.7,,74.36666666666666,70.2,
39,Slovakia,40.43333333333333,,,,75.0,,,,57.9,,,58.3,,,,50.56666666666667,,,,60.75,,,96.6,,,,73.7,,,,SVK
40,Slovenia,32.56666666666667,,24.4,24.366666666666667,64.9,,64.0,64.2,61.166666666666664,64.56666666666666,66.76666666666667,44.3,,37.2,33.9,46.43333333333333,,54.63333333333333,58.46666666666667,70.9,,54.6,92.26666666666667,,95.06666666666666,95.63333333333334,75.76666666666667,,80.06666666666666,78.63333333333334,SVN
41,South Africa,24.833333333333332,24.366666666666667,26.9,40.166666666666664,78.0,76.8,79.7,80.0,67.26666666666667,71.33333333333333,69.93333333333334,48.46666666666667,43.56666666666667,47.233333333333334,50.3,63.96666666666667,73.56666666666666,70.43333333333334,73.76666666666667,30.35,41.6,36.95,96.8,97.76666666666667,98.1,96.86666666666666,58.8,66.1,66.1,73.9,ZAF
42,Spain,30.9,22.966666666666665,19.033333333333335,26.1,67.5,62.2,44.3,40.0,67.96666666666667,67.96666666666667,66.83333333333333,33.833333333333336,26.666666666666668,23.9,29.433333333333334,60.733333333333334,63.266666666666666,65.0,63.1,76.55,80.15,81.5,93.5,94.63333333333334,95.8,96.76666666666667,76.26666666666667,79.16666666666667,80.86666666666666,82.1,ESP
43,Sweden,10.966666666666667,9.5,15.166666666666666,15.333333333333334,31.4,37.1,32.7,31.2,77.03333333333333,79.46666666666667,78.2,20.833333333333332,22.666666666666668,22.5,22.033333333333335,69.96666666666667,,69.73333333333333,67.66666666666667,48.6,44.05,53.85,96.13333333333334,95.66666666666667,96.86666666666666,95.63333333333334,89.23333333333333,89.36666666666666,89.73333333333333,88.2,SWE
44,Turkey,40.8,33.7,25.366666666666667,37.333333333333336,65.4,78.8,81.0,83.5,79.0,72.96666666666667,72.33333333333333,58.63333333333333,55.766666666666666,53.8,63.2,56.96666666666667,57.666666666666664,58.833333333333336,59.03333333333333,52.0,8.05,9.5,98.66666666666667,98.8,99.13333333333334,98.3,89.53333333333333,88.93333333333334,86.1,84.7,TUR
45,Ukraine,38.43333333333333,,39.63333333333333,32.733333333333334,58.0,,74.4,68.3,45.8,59.36666666666667,58.3,51.03333333333333,,49.833333333333336,54.5,35.166666666666664,,46.1,41.96666666666667,44.3,,49.3,93.7,,94.4,96.83333333333333,72.2,,72.4,75.83333333333333,UKR
46,Macedonia,25.3,21.1,,,53.7,82.3,,,56.86666666666667,,,45.86666666666667,42.4,,,61.7,62.0,,,60.5,54.45,,98.76666666666667,99.03333333333333,,,77.03333333333333,80.13333333333334,,,
47,United States,28.733333333333334,23.0,24.666666666666668,21.666666666666668,79.1,81.2,69.0,67.0,79.73333333333333,75.73333333333333,74.7,37.333333333333336,34.0,36.2,32.166666666666664,71.76666666666667,74.26666666666667,69.16666666666667,67.9,36.9,47.7,51.0,98.06666666666666,97.96666666666667,97.63333333333334,96.03333333333333,88.26666666666667,86.46666666666667,84.53333333333333,81.73333333333333,USA
48,Uruguay,31.233333333333334,,26.4,24.4,52.5,,56.2,50.8,65.66666666666667,71.33333333333333,72.53333333333333,42.1,,31.633333333333333,16.866666666666667,65.0,,64.53333333333333,67.66666666666667,74.25,,71.3,96.36666666666666,,96.06666666666666,95.5,80.96666666666667,,77.1,76.6,URY
49,Venezuela,28.433333333333334,18.233333333333334,,,84.1,77.6,,,81.8,,,40.0,39.86666666666667,,,68.13333333333334,,,,59.0,61.8,,98.96666666666667,99.26666666666667,,,72.8,80.3,,,
50,Serbia,36.3,29.466666666666665,26.3,,55.7,68.2,76.1,,59.4,54.9,,52.46666666666667,43.1,43.2,,50.8,51.36666666666667,53.13333333333333,,58.7,61.7,55.2,95.4,97.0,97.1,,80.3,84.13333333333334,82.86666666666666,,SRB
51,Montenegro,32.06666666666667,33.4,,,46.2,62.5,,,59.9,,,55.8,48.03333333333333,,,56.3,54.833333333333336,,,58.55,47.65,,95.9,97.33333333333333,,,79.63333333333334,80.1,,,MNE
52,Bosnia,25.266666666666666,,,,67.2,,,,63.93333333333333,,,50.86666666666667,,,,57.766666666666666,,,,61.5,,,98.83333333333333,,,,88.86666666666666,,,,
53,Algeria,,34.96666666666667,,43.4,,54.8,,74.2,,,61.266666666666666,,64.03333333333333,,69.1,,48.86666666666667,,59.333333333333336,,8.85,,,97.7,,96.3,,73.03333333333333,,73.8,DZA
54,Bosnia Herzegovina,,28.633333333333333,,,,72.8,,,,,,,40.266666666666666,,,,60.666666666666664,,,,53.95,,,99.5,,,,89.4,,,
55,Canada,,20.233333333333334,21.6,,,72.1,65.1,,,80.13333333333334,,,31.033333333333335,31.066666666666666,,,73.16666666666667,73.33333333333333,,,50.35,51.4,,97.56666666666666,97.03333333333333,,,85.06666666666666,86.2,,CAN
56,Indonesia,,30.8,33.36666666666667,,,69.5,75.3,,,71.8,,,53.1,56.233333333333334,,,60.36666666666667,63.8,,,6.9,4.6,,99.66666666666667,98.63333333333334,,,84.16666666666667,82.83333333333333,,IDN
57,Iran,,43.13333333333333,51.46666666666667,,,82.3,80.8,,,63.9,,,55.6,65.4,,,65.23333333333333,59.53333333333333,,,5.0,5.5,,97.36666666666666,97.4,,,67.63333333333334,68.9,,
58,Iraq,,48.3,46.833333333333336,37.266666666666666,,84.4,51.6,76.8,,46.333333333333336,57.6,,82.93333333333334,83.0,72.8,,64.06666666666666,56.63333333333333,58.1,,,,,98.8,98.33333333333333,97.33333333333333,,82.93333333333334,82.06666666666666,77.66666666666667,IRQ
59,Jordan,,40.4,36.9,36.96666666666667,,85.0,92.2,80.4,,71.5,67.4,,82.63333333333334,74.23333333333333,77.06666666666666,,68.93333333333334,76.06666666666666,71.43333333333334,,2.3,2.05,,98.7,98.66666666666667,98.53333333333333,,78.96666666666667,84.26666666666667,79.83333333333333,JOR
60,Kyrgyzstan,,36.03333333333333,,46.333333333333336,,73.7,,92.3,,,77.23333333333333,,53.833333333333336,,59.4,,55.86666666666667,,63.53333333333333,,30.9,,,95.5,,98.66666666666667,,78.86666666666666,,73.93333333333334,KGZ
61,Morocco,,50.3,34.8,27.233333333333334,,,89.7,82.4,,67.5,64.46666666666667,,58.63333333333333,53.7,53.96666666666667,,62.7,69.8,67.93333333333334,,2.65,2.2,,97.23333333333333,98.46666666666667,96.46666666666667,,65.26666666666667,77.9,69.7,MAR
62,Saudi Arabia,,59.9,,,,63.6,,,,,,,68.9,,,,78.93333333333334,,,,5.2,,,98.0,,,,81.06666666666666,,,SAU
63,Singapore,,32.43333333333333,,36.63333333333333,,,,53.1,,,77.2,,48.96666666666667,,48.766666666666666,,,,68.46666666666667,,23.0,,,97.1,,97.36666666666666,,77.4,,81.93333333333334,SGP
64,Vietnam,,37.766666666666666,32.56666666666667,,,36.4,38.3,,,70.86666666666666,,,52.733333333333334,52.0,,,54.9,53.733333333333334,,,21.25,27.7,,93.7,93.56666666666666,,,67.1,68.8,,
65,Zimbabwe,,27.7,,30.9,,87.4,,90.7,,,71.96666666666667,,49.733333333333334,,56.833333333333336,,62.3,,73.8,,10.2,,,99.06666666666666,,98.83333333333333,,68.6,,73.56666666666666,ZWE
66,Uganda,,27.3,,,,93.3,,,,,,,59.46666666666667,,,,63.8,,,,27.95,,,96.26666666666667,,,,89.76666666666667,,,UGA
67,Egypt,,36.666666666666664,43.733333333333334,42.1,,98.4,92.3,,,63.53333333333333,29.133333333333333,,78.56666666666666,87.86666666666666,79.66666666666667,,59.6,57.96666666666667,52.63333333333333,,4.95,1.8,,98.66666666666667,99.16666666666667,99.03333333333333,,72.56666666666666,77.1,80.3,EGY
68,Tanzania,,23.5,,,,89.5,,,,,,,45.93333333333333,,,,59.233333333333334,,,,19.6,,,93.76666666666667,,,,64.53333333333333,,,
69,Andorra,,,22.2,,,,48.0,,,72.9,,,,28.5,,,,72.36666666666666,,,,86.25,,,95.33333333333333,,,,80.03333333333333,,AND
70,Cyprus,,,25.5,21.766666666666666,,,61.5,78.3,,73.7,67.9,,,42.333333333333336,37.63333333333333,,,71.33333333333333,69.93333333333334,,,34.2,,,97.33333333333333,97.2,,,84.03333333333333,84.13333333333334,CYP
71,Ethiopia,,,22.8,,,,76.7,,,62.4,,,,30.833333333333332,,,,60.233333333333334,,,,40.55,,,96.76666666666667,,,,91.76666666666667,,ETH
72,France,,,11.733333333333333,,,,46.4,,,74.7,,,,25.966666666666665,,,,65.53333333333333,,,,66.95,,,94.36666666666666,,,,83.16666666666667,,FRA
73,Ghana,,,30.933333333333334,37.233333333333334,,,90.8,97.0,,74.86666666666666,76.16666666666667,,,68.0,73.83333333333333,,,70.46666666666667,78.16666666666667,,,6.95,,,97.4,98.0,,,70.66666666666667,73.5,GHA
74,Guatemala,,,28.766666666666666,,,,71.6,,,73.86666666666666,,,,36.5,,,,60.3,,,,61.95,,,99.36666666666666,,,,75.23333333333333,,GTM
75,Hong Kong,,,37.13333333333333,37.96666666666667,,,27.2,19.8,,63.166666666666664,70.3,,,43.36666666666667,44.166666666666664,,,54.7,55.63333333333333,,,28.5,,,83.83333333333333,94.06666666666666,,,76.13333333333334,78.96666666666667,HKG
76,Italy,,,26.733333333333334,,,,85.0,,,68.6,,,,32.5,,,,63.1,,,,44.45,,,97.26666666666667,,,,79.56666666666666,,ITA
77,Malaysia,,,49.96666666666667,47.36666666666667,,,88.8,53.7,,77.06666666666666,84.13333333333334,,,62.43333333333333,63.666666666666664,,,72.06666666666666,74.56666666666666,,,27.25,,,98.73333333333333,99.06666666666666,,,78.83333333333333,78.76666666666667,MYS
78,Mali,,,53.8,,,,93.7,,,72.56666666666666,,,,69.23333333333333,,,,60.766666666666666,,,,14.4,,,95.76666666666667,,,,81.56666666666666,,MLI
79,Netherlands,,,18.566666666666666,19.4,,,50.7,43.8,,78.3,74.23333333333333,,,27.0,24.366666666666667,,,64.43333333333334,62.03333333333333,,,66.35,,,90.53333333333333,92.13333333333334,,,84.43333333333334,81.1,NLD
80,Rwanda,,,39.03333333333333,42.53333333333333,,,93.8,95.9,,64.9,76.63333333333334,,,49.6,50.03333333333333,,,39.6,70.86666666666666,,,30.95,,,86.96666666666667,96.73333333333333,,,82.5,89.6,RWA
81,Switzerland,,,18.9,,54.2,,62.6,,77.7,78.2,,,,26.566666666666666,,73.46666666666667,,71.56666666666666,,47.75,,44.65,92.53333333333333,,94.53333333333333,,83.83333333333333,,84.93333333333334,,CHE
82,Thailand,,,38.43333333333333,38.266666666666666,,,35.5,32.0,,77.23333333333333,77.0,,,50.56666666666667,53.46666666666667,,,64.26666666666667,68.76666666666667,,,38.8,,,94.86666666666666,95.3,,,72.33333333333333,70.6,THA
83,Trinidad and Tobago,,,21.033333333333335,17.8,,,82.7,78.8,,78.96666666666667,80.43333333333334,,,34.166666666666664,32.166666666666664,,,67.9,70.96666666666667,,,29.85,,,97.96666666666667,97.46666666666667,,,70.36666666666666,69.03333333333333,TTO
84,United Kingdom,,,25.0,,,,47.2,,73.46666666666667,80.9,,,,32.266666666666666,,,,66.9,,,,46.0,,,96.96666666666667,,,,88.2,,GBR
85,Burkina Faso,,,42.0,,,,87.7,,,66.36666666666666,,,,55.333333333333336,,,,64.53333333333333,,,,10.75,,,97.83333333333333,,,,81.36666666666666,,BFA
86,Zambia,,,31.433333333333334,,,,82.2,,,52.9,,,,49.6,,,,61.43333333333333,,,,28.15,,,95.93333333333334,,,,77.3,,ZMB
87,Ecuador,,,,32.53333333333333,,,,71.1,,,83.3,,,,36.13333333333333,,,,65.36666666666666,,,,,,,99.3,,,,67.66666666666667,ECU
88,Palestine,,,,36.266666666666666,,,,72.4,,,59.6,,,,75.1,,,,65.56666666666666,,,,,,,98.3,,,,75.16666666666667,
89,Haiti,,,,59.13333333333333,,,,90.3,,,69.53333333333333,,,,40.53333333333333,,,,59.56666666666667,,,,,,,89.2,,,,74.9,HTI
90,Kazakhstan,,,,33.8,,,,61.7,,,73.1,,,,61.3,,,,56.56666666666667,,,,,,,97.2,,,,77.96666666666667,KAZ
91,Kuwait,,,,43.06666666666667,,,,66.1,,,76.96666666666667,,,,71.8,,,,74.6,,,,,,,96.66666666666667,,,,81.13333333333334,KWT
92,Lebanon,,,,36.166666666666664,,,,63.6,,,64.5,,,,54.7,,,,65.83333333333333,,,,,,,84.03333333333333,,,,77.2,LBN
93,Libya,,,,41.1,,,,68.5,,,74.06666666666666,,,,73.96666666666667,,,,77.36666666666666,,,,,,,98.63333333333334,,,,84.3,
94,Qatar,,,,39.56666666666667,,,,93.8,,,84.7,,,,81.13333333333334,,,,79.23333333333333,,,,,,,99.56666666666666,,,,90.43333333333334,QAT
95,Tunisia,,,,32.7,,,,65.1,,,63.7,,,,69.2,,,,63.733333333333334,,,,,,,98.86666666666666,,,,74.26666666666667,TUN
96,Uzbekistan,,,,51.63333333333333,,,,48.7,,,86.6,,,,73.73333333333333,,,,64.93333333333334,,,,,,,99.0,,,,80.63333333333334,UZB
97,Yemen,,,,47.43333333333333,,,,86.3,,,62.166666666666664,,,,77.33333333333333,,,,63.06666666666667,,,,,,,97.93333333333334,,,,79.1,YEM
98,Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,MCO
